Date,Humidity,Temperature
2021/8/14 20:36:41,37.80,22.60
2021/8/14 20:36:46,37.80,22.60
2021/8/14 20:36:51,37.80,22.60
2021/8/14 20:36:56,37.70,22.70
2021/8/14 20:37:1,37.60,22.60
2021/8/14 20:37:6,37.60,22.70
2021/8/14 20:37:12,37.60,22.70
2021/8/14 20:37:17,37.50,22.70
2021/8/14 20:37:22,37.50,22.70
2021/8/14 20:37:27,37.50,22.70
2021/8/14 20:37:32,37.50,22.70
2021/8/14 20:37:37,37.40,22.80
2021/8/14 20:37:42,37.30,22.80
2021/8/14 20:37:47,37.30,22.80
2021/8/14 20:37:52,37.30,22.80
2021/8/14 20:37:57,37.30,22.80
2021/8/14 20:38:2,37.10,22.80
2021/8/14 20:38:8,37.10,22.90
2021/8/14 20:38:13,37.10,22.90
2021/8/14 20:38:18,37.10,22.90
2021/8/14 20:38:23,37.00,22.90
2021/8/14 20:38:28,37.00,22.90
2021/8/14 20:38:33,37.10,23.00
2021/8/14 20:38:38,36.90,22.90
2021/8/14 20:38:43,37.00,23.00
2021/8/14 20:38:48,36.90,23.00
2021/8/14 20:38:53,36.80,23.00
2021/8/14 20:38:58,36.80,23.00
2021/8/14 20:39:3,36.70,23.00
2021/8/14 20:39:9,36.80,23.00
2021/8/14 20:39:14,36.80,23.00
2021/8/14 20:39:19,36.70,22.90
2021/8/14 20:39:24,36.60,22.90
2021/8/14 20:39:29,36.60,22.90
2021/8/14 20:39:34,36.70,22.90
2021/8/14 20:39:39,36.70,22.80
2021/8/14 20:39:44,36.80,22.70
2021/8/14 20:39:49,37.00,22.70
2021/8/14 20:39:54,37.10,22.70
2021/8/14 20:39:59,37.10,22.60
2021/8/14 20:40:5,37.60,22.60
2021/8/14 20:40:10,37.80,22.60
2021/8/14 20:40:15,37.70,22.60
2021/8/14 20:40:20,37.90,22.60
2021/8/14 20:40:25,37.80,22.60
2021/8/14 20:40:30,37.60,22.50
2021/8/14 20:40:35,37.60,22.50
2021/8/14 20:40:40,37.60,22.50
2021/8/14 20:40:45,37.80,22.50
2021/8/14 20:40:50,37.90,22.60
2021/8/14 20:40:55,38.00,22.50
2021/8/14 20:41:0,38.10,22.60
2021/8/14 20:41:6,38.10,22.50
2021/8/14 20:41:11,38.10,22.60
2021/8/14 20:41:16,38.00,22.60
2021/8/14 20:41:21,37.90,22.60
2021/8/14 20:41:26,37.90,22.60
2021/8/14 20:41:31,38.00,22.60
2021/8/14 20:41:36,38.00,22.60
2021/8/14 20:41:41,37.90,22.60
2021/8/14 20:41:46,37.70,22.60
2021/8/14 20:41:51,37.60,22.60
2021/8/14 20:41:57,37.50,22.60
2021/8/14 20:42:2,37.50,22.60
2021/8/14 20:42:7,37.50,22.60
2021/8/14 20:42:12,37.40,22.60
2021/8/14 20:42:17,37.40,22.70
2021/8/14 20:42:22,37.40,22.70
2021/8/14 20:42:27,37.30,22.70
2021/8/14 20:42:32,37.30,22.70
2021/8/14 20:42:37,37.30,22.70
2021/8/14 20:42:42,37.20,22.70
2021/8/14 20:42:47,37.20,22.70
2021/8/14 20:42:53,37.20,22.80
2021/8/14 20:42:58,37.20,22.70
2021/8/14 20:43:3,37.20,22.80
2021/8/14 20:43:8,37.20,22.80
2021/8/14 20:43:13,37.10,22.80
2021/8/14 20:43:18,37.00,22.80
2021/8/14 20:43:23,37.00,22.80
2021/8/14 20:43:28,37.00,22.90
2021/8/14 20:43:33,36.90,22.90
2021/8/14 20:43:38,37.00,22.90
2021/8/14 20:43:43,37.00,22.90
2021/8/14 20:43:48,37.10,23.00
2021/8/14 20:43:54,37.10,23.00
2021/8/14 20:43:59,37.00,23.00
2021/8/14 20:44:4,36.90,23.00
2021/8/14 20:44:9,36.80,23.00
2021/8/14 20:44:14,36.70,23.00
2021/8/14 20:44:19,36.70,23.00
2021/8/14 20:44:24,36.60,23.00
2021/8/14 20:44:29,36.60,23.00
2021/8/14 20:44:34,36.50,22.90
2021/8/14 20:44:39,36.50,22.90
2021/8/14 20:44:44,36.60,22.80
2021/8/14 20:44:49,36.70,22.80
2021/8/14 20:44:55,36.70,22.70
2021/8/14 20:45:0,36.90,22.70
2021/8/14 20:45:5,37.00,22.60
2021/8/14 20:45:10,37.10,22.60
2021/8/14 20:45:15,37.20,22.60
2021/8/14 20:45:20,37.60,22.60
2021/8/14 20:45:25,37.60,22.50
2021/8/14 20:45:30,38.00,22.50
2021/8/14 20:45:35,38.20,22.50
2021/8/14 20:45:40,38.10,22.50
2021/8/14 20:45:45,37.90,22.40
2021/8/14 20:45:51,37.90,22.40
2021/8/14 20:45:56,38.00,22.50
2021/8/14 20:46:1,37.90,22.40
2021/8/14 20:46:6,38.10,22.40
2021/8/14 20:46:11,38.30,22.50
2021/8/14 20:46:16,38.30,22.50
2021/8/14 20:46:21,38.20,22.50
2021/8/14 20:46:26,38.30,22.50
2021/8/14 20:46:31,38.20,22.50
2021/8/14 20:46:36,38.10,22.50
2021/8/14 20:46:41,38.10,22.50
2021/8/14 20:46:46,37.90,22.50
2021/8/14 20:46:52,37.90,22.50
2021/8/14 20:46:57,37.80,22.50
2021/8/14 20:47:2,37.80,22.60
2021/8/14 20:47:7,37.80,22.60
2021/8/14 20:47:12,37.80,22.60
2021/8/14 20:47:17,37.60,22.60
2021/8/14 20:47:22,37.60,22.60
2021/8/14 20:47:27,37.50,22.60
2021/8/14 20:47:32,37.40,22.60
2021/8/14 20:47:38,37.40,22.60
2021/8/14 20:47:43,37.40,22.70
2021/8/14 20:47:48,37.40,22.70
2021/8/14 20:47:53,37.30,22.70
2021/8/14 20:47:58,37.30,22.70
2021/8/14 20:48:3,37.30,22.70
2021/8/14 20:48:8,37.20,22.70
2021/8/14 20:48:13,37.20,22.70
2021/8/14 20:48:18,37.10,22.70
2021/8/14 20:48:23,37.10,22.80
2021/8/14 20:48:28,37.10,22.80
2021/8/14 20:48:33,37.00,22.80
2021/8/14 20:48:39,37.10,22.80
2021/8/14 20:48:44,37.10,22.90
2021/8/14 20:48:49,37.00,22.90
2021/8/14 20:48:54,36.90,22.90
2021/8/14 20:48:59,36.90,22.90
2021/8/14 20:49:4,36.90,22.90
2021/8/14 20:49:9,36.90,22.90
2021/8/14 20:49:14,36.90,22.90
2021/8/14 20:49:19,36.90,23.00
2021/8/14 20:49:24,36.80,23.00
2021/8/14 20:49:29,36.80,23.00
2021/8/14 20:49:34,36.80,23.00
2021/8/14 20:49:40,36.60,23.00
2021/8/14 20:49:45,36.60,23.00
2021/8/14 20:49:50,36.70,23.00
2021/8/14 20:49:55,36.60,23.00
2021/8/14 20:50:0,36.50,23.00
2021/8/14 20:50:5,36.50,23.00
2021/8/14 20:50:10,36.40,22.90
2021/8/14 20:50:15,36.50,22.90
2021/8/14 20:50:20,36.50,22.90
2021/8/14 20:50:25,36.70,22.80
2021/8/14 20:50:30,36.80,22.70
2021/8/14 20:50:36,36.90,22.60
2021/8/14 20:50:41,37.10,22.60
2021/8/14 20:50:46,37.10,22.60
2021/8/14 20:50:51,37.20,22.60
2021/8/14 20:50:56,37.60,22.50
2021/8/14 20:51:1,38.40,22.50
2021/8/14 20:51:6,39.10,22.50
2021/8/14 20:51:11,39.60,22.50
2021/8/14 20:51:16,39.20,22.40
2021/8/14 20:51:21,38.70,22.40
2021/8/14 20:51:26,38.30,22.40
2021/8/14 20:51:31,38.20,22.40
2021/8/14 20:51:37,38.10,22.40
2021/8/14 20:51:42,38.00,22.40
2021/8/14 20:51:47,38.10,22.40
2021/8/14 20:51:52,38.20,22.40
2021/8/14 20:51:57,38.10,22.40
2021/8/14 20:52:2,38.00,22.40
2021/8/14 20:52:7,38.10,22.50
2021/8/14 20:52:12,38.10,22.50
2021/8/14 20:52:17,38.20,22.50
2021/8/14 20:52:22,38.30,22.50
2021/8/14 20:52:28,38.30,22.50
2021/8/14 20:52:33,38.00,22.50
2021/8/14 20:52:38,37.80,22.50
2021/8/14 20:52:43,37.70,22.60
2021/8/14 20:52:48,37.60,22.60
2021/8/14 20:52:53,37.50,22.50
2021/8/14 20:52:58,37.50,22.60
2021/8/14 20:53:3,37.50,22.60
2021/8/14 20:53:8,37.40,22.60
2021/8/14 20:53:13,37.30,22.60
2021/8/14 20:53:18,37.30,22.70
2021/8/14 20:53:24,37.30,22.70
2021/8/14 20:53:29,37.30,22.70
2021/8/14 20:53:34,37.30,22.70
